modelId,downloads,likes,license,tags,keywords_found,readme_length,url
jonatasgrosman/wav2vec2-large-xlsr-53-russian,9228028,62,apache-2.0,"['transformers', 'pytorch', 'jax', 'wav2vec2', 'automatic-speech-recognition', 'audio', 'hf-asr-leaderboard', 'mozilla-foundation/common_voice_6_0', 'robust-speech-event', 'ru', 'speech', 'xlsr-fine-tuning-week', 'dataset:common_voice', 'dataset:mozilla-foundation/common_voice_6_0', 'doi:10.57967/hf/3571', 'license:apache-2.0', 'model-index', 'endpoints_compatible', 'region:us', 'deploy:azure']",['robust'],1406,https://huggingface.co/jonatasgrosman/wav2vec2-large-xlsr-53-russian
jonatasgrosman/wav2vec2-large-xlsr-53-portuguese,6304023,36,apache-2.0,"['transformers', 'pytorch', 'jax', 'wav2vec2', 'automatic-speech-recognition', 'audio', 'hf-asr-leaderboard', 'mozilla-foundation/common_voice_6_0', 'pt', 'robust-speech-event', 'speech', 'xlsr-fine-tuning-week', 'dataset:common_voice', 'dataset:mozilla-foundation/common_voice_6_0', 'doi:10.57967/hf/3572', 'license:apache-2.0', 'model-index', 'endpoints_compatible', 'region:us', 'deploy:azure']",['robust'],1411,https://huggingface.co/jonatasgrosman/wav2vec2-large-xlsr-53-portuguese
BAAI/bge-large-en-v1.5,4952423,598,mit,"['sentence-transformers', 'pytorch', 'onnx', 'safetensors', 'bert', 'feature-extraction', 'sentence-similarity', 'transformers', 'mteb', 'en', 'arxiv:2401.03462', 'arxiv:2312.15503', 'arxiv:2311.13534', 'arxiv:2310.07554', 'arxiv:2309.07597', 'license:mit', 'model-index', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us', 'deploy:azure']",['eval'],82124,https://huggingface.co/BAAI/bge-large-en-v1.5
cardiffnlp/twitter-roberta-base-sentiment-latest,4426359,733,cc-by-4.0,"['transformers', 'pytorch', 'tf', 'roberta', 'text-classification', 'en', 'dataset:tweet_eval', 'arxiv:2202.03829', 'license:cc-by-4.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us', 'deploy:azure']",['eval'],103,https://huggingface.co/cardiffnlp/twitter-roberta-base-sentiment-latest
jonatasgrosman/wav2vec2-large-xlsr-53-dutch,4232620,13,apache-2.0,"['transformers', 'pytorch', 'jax', 'wav2vec2', 'automatic-speech-recognition', 'audio', 'hf-asr-leaderboard', 'mozilla-foundation/common_voice_6_0', 'nl', 'robust-speech-event', 'speech', 'xlsr-fine-tuning-week', 'dataset:common_voice', 'dataset:mozilla-foundation/common_voice_6_0', 'doi:10.57967/hf/0203', 'license:apache-2.0', 'model-index', 'endpoints_compatible', 'region:us', 'deploy:azure']",['robust'],1408,https://huggingface.co/jonatasgrosman/wav2vec2-large-xlsr-53-dutch
BAAI/bge-base-en-v1.5,4045746,376,mit,"['sentence-transformers', 'pytorch', 'onnx', 'safetensors', 'bert', 'feature-extraction', 'sentence-similarity', 'transformers', 'mteb', 'en', 'arxiv:2401.03462', 'arxiv:2312.15503', 'arxiv:2311.13534', 'arxiv:2310.07554', 'arxiv:2309.07597', 'license:mit', 'model-index', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us', 'deploy:azure']",['eval'],82050,https://huggingface.co/BAAI/bge-base-en-v1.5
amazon/chronos-2,3848047,90,apache-2.0,"['chronos-forecasting', 'safetensors', 't5', 'time series', 'forecasting', 'foundation models', 'pretrained models', 'time-series-forecasting', 'dataset:autogluon/chronos_datasets', 'dataset:Salesforce/GiftEvalPretrain', 'arxiv:2403.07815', 'arxiv:2510.15821', 'license:apache-2.0', 'region:us']",['eval'],375,https://huggingface.co/amazon/chronos-2
BAAI/bge-small-en-v1.5,3828577,381,mit,"['sentence-transformers', 'pytorch', 'onnx', 'safetensors', 'bert', 'feature-extraction', 'sentence-similarity', 'transformers', 'mteb', 'en', 'arxiv:2401.03462', 'arxiv:2312.15503', 'arxiv:2311.13534', 'arxiv:2310.07554', 'arxiv:2309.07597', 'license:mit', 'model-index', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us', 'deploy:azure']",['eval'],82167,https://huggingface.co/BAAI/bge-small-en-v1.5
Alibaba-NLP/gte-large-en-v1.5,3811721,232,apache-2.0,"['transformers', 'onnx', 'safetensors', 'new', 'feature-extraction', 'sentence-transformers', 'gte', 'mteb', 'transformers.js', 'sentence-similarity', 'custom_code', 'en', 'dataset:allenai/c4', 'arxiv:2407.19669', 'arxiv:2308.03281', 'license:apache-2.0', 'model-index', 'text-embeddings-inference', 'endpoints_compatible', 'region:us', 'deploy:azure']",['eval'],85406,https://huggingface.co/Alibaba-NLP/gte-large-en-v1.5
intfloat/multilingual-e5-large,2904271,1089,mit,"['sentence-transformers', 'pytorch', 'onnx', 'safetensors', 'openvino', 'xlm-roberta', 'mteb', 'Sentence Transformers', 'sentence-similarity', 'feature-extraction', 'multilingual', 'af', 'am', 'ar', 'as', 'az', 'be', 'bg', 'bn', 'br', 'bs', 'ca', 'cs', 'cy', 'da', 'de', 'el', 'en', 'eo', 'es', 'et', 'eu', 'fa', 'fi', 'fr', 'fy', 'ga', 'gd', 'gl', 'gu', 'ha', 'he', 'hi', 'hr', 'hu', 'hy', 'id', 'is', 'it', 'ja', 'jv', 'ka', 'kk', 'km', 'kn', 'ko', 'ku', 'ky', 'la', 'lo', 'lt', 'lv', 'mg', 'mk', 'ml', 'mn', 'mr', 'ms', 'my', 'ne', 'nl', 'no', 'om', 'or', 'pa', 'pl', 'ps', 'pt', 'ro', 'ru', 'sa', 'sd', 'si', 'sk', 'sl', 'so', 'sq', 'sr', 'su', 'sv', 'sw', 'ta', 'te', 'th', 'tl', 'tr', 'ug', 'uk', 'ur', 'uz', 'vi', 'xh', 'yi', 'zh', 'arxiv:2402.05672', 'arxiv:2108.08787', 'arxiv:2104.08663', 'arxiv:2210.07316', 'license:mit', 'model-index', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us', 'deploy:azure']",['eval'],181466,https://huggingface.co/intfloat/multilingual-e5-large
